review_name,review_time,rating,review_text
Anggun Pribadi,7 tahun lalu,4 bintang,Taman besar dengan banyak bunga sakura. Ditengah2nyabada istana osaka yang dikelilingi kanal. Banyak warga lokal melakukan piknik makan dibawah sakura apabila waktunya tepat.
Yacobus budyanto,5 tahun lalu,4 bintang,"Pohon berwarna kuning , merah menambah keindahan Castle"
Fakhri Maulana,7 tahun lalu,5 bintang,Osaka Castle sangat indah.. jalan menuju istana sedikit menanjak dan cukup jauh.. didalam istana terdapat sekitar 7 lantai yang berisi sejarah osaka castle.. so nice
Mario Kampes,2 tahun lalu,5 bintang,Setidaknya sekali saja ke sini... Semua tertata bersih
Nasya Calista,6 tahun lalu,5 bintang,Tempatnya luas.. ada spit untuk melihat keindahan osaka dari ketinggian...
bangun tri,setahun lalu,5 bintang,Foto d depan geratis.
bagas mukti,Diedit 8 tahun lalu,5 bintang,"supaya mendapat pemandangan terbaik dari temlat ini, sebaiknya anda tidak mengunjunginya di peralihan musim"
masaji mulyo,setahun lalu,5 bintang,"Taman yang sangat indah, pohon bonsainya seperti ingin memindahkannya ke taman rumah
Metoda pembangunan mulai pondasi, struktur kayu, pintu dan bangunannya sunggu mengagumkan
Tenang jiwa ini"
keluarga pucuk merah,3 bulan lalu,5 bintang,Kereeeen...
Mariana Ana,setahun lalu,5 bintang,Waktu yang tepat di awal bulan november untuk menikmati indahnya pemandangan  musim gugur di osaka castle.banyak view recomended untuk mengabadikan moment bersama orang orang terkasih.
Arifien M.,6 tahun lalu,4 bintang,Panas saat kesana. Overall ok. Dan banyak tempat duduk dan vending mechine. Serta minimart di luar
Agung Pranantyo,8 tahun lalu,5 bintang,"Tempat yang sangat cantik, apalagi jika sedang dalam musim semi, cherry blossom."
Mukhibah Ams,7 tahun lalu,5 bintang,"Kalo udah disini pastiin harus masuk, keren pemandangan dari atas"
Unggul Triaji,7 tahun lalu,5 bintang,Keindahan lekaisaran jepang bangunan bersejarah yang masih di jaga keindahannya
irfanfebrianto bona,7 tahun lalu,4 bintang,Kesini tetap harus coba masuk ke istana nya. Beruntungnya saya sedang musim sakura
Suzannita,7 tahun lalu,5 bintang,"Saya bertemu orang Jepang yang bisa berbahasa Indonesia di Osaka Castle, mereka datang langung dan mengajak ngobrol"
Ratna Yuwono,8 bulan lalu,5 bintang,Tamannya sangat luas
Don Kardono,Diedit 6 tahun lalu,5 bintang,"Luas, dikelilingi kolam air yang lebar, benteng yang besar dan kuat, terbuat dari batu batu yang keras dan kuat, jembatan menuju benteng, pohon yang ditata seperti bonsai, pelataran yang sangat luas, cukup buat olahraga pagi atau sore sebelum musim dingin tiba."
Dian Safarini,6 tahun lalu,5 bintang,"Museum yg didedikasikan untuk Toyotomi Hideyoshi. Didalam istana menampilkan sejarah hidup Toyotomi Hideyoshi hingga peninggalan-peninggalan bersejarahnya. Bisa foto menggunakan pakaian perang Jepang jaman dulu seharga ¥500 per orang. Sudah dapat print foto versi kecilnya. Lantai 3 dan 4 tidak boleh difoto karna isinya artefak bersejarah jepang. Jika membawa anak kecil atau sekiranya tidak sanggup, sebaiknya naik menggunakan lift mengingat ada 8 lantai didalam istana. Disekitar istana ada taman bagus untuk berfoto dan harus bayar lagi untuk bisa masuk ke beberapa tempat khusus."
Al Tobing,6 tahun lalu,5 bintang,"Meskipun masuknya harus ngantri tapi puas, krn ada banyak armor dan senjata samurai yang keren dipajang. Tadinya berharap dapat lihat ruangan castle yg sesungguhnya seperti aslinya dulu, tapi ruangan sudah dirubah jadi seperti museum pada umumnya. Ada akses pakai lift tapi ngantrinya lebih panjang. Waktu itu berkunjung di musim bunga sakura jadi ramai sekali, sana sini ketemu orang Indonesia 😁"
Ricky,7 tahun lalu,5 bintang,"Nice park, cocok untuk kumpul keluarga dan teman"
Mey S,7 tahun lalu,5 bintang,"Tamannya besar, bagus & terawat. Sungainya bersih dan jernih. Kita bisa keliling istana menggunakan kapal & gratis bila menggunakan osaka amazing pass. Istananya besar, sejarahnya juga menarik menggunakan video2 pemainnya orang beneran bagus banget"
Anisatul Azizah,7 tahun lalu,5 bintang,"Klo mau kesini harus siap fisik prima,klo ga bs gempor kaki,,,😁 …"
Yusuf's,setahun lalu,5 bintang,Suasana yang asri dan menyejukan. Jika berkunjung saat bunga sakura berkembang akan sangat indah.
Shikamaruken DWBH,7 tahun lalu,5 bintang,"Tempat wisata keluarga yg senang dgn budaya jepang. Kita bisa makan di tepi istana...ada penjual makanan untuk pengunjung. Di taman juga banyak atraksi beraneka ragam. Uniknya tidak hanya dilakukan pendudukan jepang utk atraksi, ada juga bule yg sulap disana..."
Aulia Rahman,setahun lalu,5 bintang,"Sangat luas dan cantik, ada banyak foto bersejarah"
Iriany Ali,6 tahun lalu,4 bintang,"Cantik dan anggun. Kami berkesempatan berkunjung di malam hari. Berjalan di bawah pohon sakura yg bermekaran dengan lampu2nya membuat hati ikut bermekaran. Ditambah di ketinggian gemerlap kastil membuat kaki ini berat untuk meninggalkannya.

Banyak orang berwisata ke sini dengan membawa makanan dan bercengkrama dengan keluarga atau teman2."
Diligite Mua,6 tahun lalu,5 bintang,"Tample yg sangat unik , di kelilingi sungai yg nyaman sangat enak di pandang .... kita ke osaka castle butuh wkt 1 hari krn bnyk yg bs kita buat foto"" dan pelajari... pemandangan sangat indah , ga bs ngelupain pengalaman ku di sini.... next ada rejeki aku akan berkunjung lg... love japan"
Sandy Sugandy,6 tahun lalu,5 bintang,"Bagus , sebenarnya jika yang mau olahraga sore bagusnya joging dr pintu masuk ke daerah castlenya, karena cukup jauh untuk jalan kaki, jadi sebaiknya menggunakan transportasi untuk ke sana, dan usahakan jangan terlalu sore perginya, karena nnti malah antri untuk pulang ke pintu masuk, karena transportasinya terbatas, sedangkan turisnya banyak"
Amar Rohalif,6 tahun lalu,5 bintang,"Peninggalan bersejarah yang ada di jeoang, khususnya daerah osaka. Lumayan ada di ketinggian sehingga bisa melihat view kota osaka dari atas nya. Tamannya sangat sangatlah kuas, lumayan capek juga turun dari stasiun untuk mencapai kastil nya. Banyak juga jajanan khas jepang di sekitaran taman sini. Bagus sekali di musim semi karena aakura bermekaran dan banyak yang melakukan hanami dengan barbekyu an di sekitaran taman nya"
Cang Ali,6 tahun lalu,4 bintang,.kalau mau kesini pas moment sakura...
tri putri utami,7 tahun lalu,5 bintang,Luas rame bersih nyaman
Hartono Swanopati,setahun lalu,4 bintang,Saat sakura bermekaran bisa keliling Kastil ini dari taman bunga lalu naik odong odong ke kastilnya.
Sabila Albar,4 tahun lalu,5 bintang,Tempat terbaik biat belajar sejarah jepang
迪麻士,7 tahun lalu,4 bintang,"Pertama kali saya mengunjungi kastil ini langsung terkesima dengan kebersihannya. Masuk di kawasan kastil tidak dipungut biaya, akan tetapi ketika ingin masuk di dalam kastilnya kita akan dipungut biaya. Kemudian yang membuat saya terkesima lagi adalah ketika saya berada di lantai atas dimana pemimpin kala itu bisa melihat dari segala penjuru kuasanya. Semua sudut bisa terpantau jelas dari ketinggian kastil, sungguh sangat menawan pemandangan dari atas kastil"
lirika rika,8 tahun lalu,5 bintang,Mengunjungi taman istana osaka sebagai salah satu ikon khas yang wajib di kunjungi wisatawan turis. Di dalam istana bisa mengikuti sejarah istana tersebut. Tersedia jajanan di sekitar halaman. Dan di belakang istana ada perahu wisata
Ayong Masaji,setahun lalu,5 bintang,"Bangunan yang hebat, dengan teknik yang luar biasa di jamannya dan di padukan dengan keindahan arsitektur Japan"
Andreyas Crystivian Dani,7 tahun lalu,5 bintang,"Kalau ke oosaka tidak afdol jika tidak ke oosaka jou, atau istana (benteng) osaka anda bisa lihat bangunan megah bergaya jepang dibalut dengan pemandangan langit nan biru (jika cuacanya bagus) kita bisa masuk ke istana sampai keatas dan melihat pemandangan kota oosaka dari atas istana"
Wahyu Widodo,Diedit setahun lalu,4 bintang,"Untuk memudahkan akses ke lokasi obyek, perlu difasilitasi dg lebih banyak kendaraan shuttle car"
Kemal Ranadireksa,7 tahun lalu,5 bintang,"Istana Osaka sangat prominent/terkenal sebagai objek wisata yang menjadi andalan kota Osaka. Tidak pagi atau siang/sore, malampun Istana ini cantik sekali terlihat putih keemasan anggun dan sangat berwibawa. Disini kita bisa mempelajari Restorasi Meiji diera Kaisar Edo (?). Don't miss it while you go to Osaka"
Wahidah Arsyad,Diedit 6 tahun lalu,5 bintang,"Semua terawat dengan baik. Beragam pohon dan bunga tumbuh subur di sini, beragam warna. Istana Osaka sangat terawat. Gak rugi ngeluarin budget agak mahal berkunjung ke sini.... bikin otak di refresh lagi 😀😀 …"
GreizVin,8 bulan lalu,5 bintang,Spot utk foto nya bnyak disini
Nur Hayati,3 tahun lalu,5 bintang,Banyak taman yang indah di sekitar kastil ini. Datanglah ketika musim sakura tiba dan musim gugur. Sangat cantik dan bersih
Kahaji Kanda Muwahidin Firdaus,Diedit 6 tahun lalu,5 bintang,"Kesini waktu itu jalur lari doang, jadi cuma lewat & poto2 dikit
Bagus juga banyak spot poto yg Keren jasa"
Stefanus Chendera,Diedit 5 tahun lalu,4 bintang,"Lokasi yg bagus utk foto bersama keluarga, teman dan rekan kerja ...
Suasana cocok utk olahraga jalan santai atau lari ..."
iwan tendi,6 tahun lalu,5 bintang,Tempat yang bersejarah serta taman sakura nya yg lagi mekar jd sangat berkesan u dikunjungi
Heppi Numen,7 tahun lalu,4 bintang,"istana di keliling kanal dan pohon sakura.jadi klo datang berkunjung pas waktu bunga sakura mekar,tempat ini benar2 indah.."
dieta pratiwy,7 tahun lalu,5 bintang,"Castel yang sangat indah..
Berkunjung ke sini waktu musim semi dapat melihat taman bunga sakura yang indah"
ahmad saptari,6 tahun lalu,4 bintang,"Bersih, bersejarah, fasilitas lengkap, mantap deh kalo wisata ke jepang"
Rini Haryanti,5 tahun lalu,5 bintang,Satu lokasi terdapat bbrp tempat yg bs buat foto2 dgn pemandangan yg indah
Desiantini D,7 tahun lalu,4 bintang,"Pada bulan november 2017 saya trip ke osaka dan datang ke osaka castle dan parknya, daun daun di pohon baru saja berubah kuning,"
Sulhiyah Roemnoer,7 tahun lalu,4 bintang,"Osaka, pusat utama kalau suka sejarah dengan melihat pemandangan sungai yang menemani perjalanan kita, yang suka selfie bisa banget."
Rucitra Deasy,6 tahun lalu,5 bintang,In love with Osaka actually. Pengen explore banyak tapi waktu gak memadai. Kalo ke Jepang lagi pengen explore Osaka dan Kyoto. Gak cuma Tokyo
Nurul Rofiah,4 tahun lalu,5 bintang,tempat bersejarah..memadukan tradiaional dan modern...sy suka dilantai 8
A & W,5 tahun lalu,5 bintang,recommend pkonya wat kalian yg mai cari rekan jepang disini. bnyk bnget turis asing jg. sp tau jodoh kalian disini kuy
hrry bdman,7 tahun lalu,4 bintang,Tempatnya luas sekali
Savante Arreneuz,7 tahun lalu,5 bintang,"Bagi yang ingin melihat Temple Jepang, bisa ke sini. Daerahnya panas, waktu itu summer time ke sana."
Amin Kosasi,5 tahun lalu,5 bintang,"Tamannya lebih menarik dari istananya.
Cuman siap siap capek jalan kaki mengelilingi nya."
Indra,8 tahun lalu,3 bintang,Ada ibu tua memberi makan kucing gede sekali dengan ikan kaleng
aru syaddo,6 tahun lalu,5 bintang,"Landmark kota Osaka, luas, bersih, cocok sekali utk jalan2/rekreasi,olahraga, dll"
Joko Kristanto,setahun lalu,5 bintang,"Sangat bagus dan asri, bersih dan rapi, sangat indah"
saeful hakim,3 tahun lalu,5 bintang,tempatnya luas...bagus pada waktu musim gugur...
Brown Talk Saurus,7 tahun lalu,5 bintang,Osaka castle keren abis
Nur Hasina Safri,6 tahun lalu,5 bintang,"A beautiful places i have a seen
Gak ada kata edit untuk tempat ini.."
Floriana Sundari,6 tahun lalu,5 bintang,"Meski hasil renovasi sepenuhnya, masih terasa keagungan tempat ini"
Septiana Widi,7 tahun lalu,5 bintang,Istana yang sangat megah dan penuh sejarah sangat luas dan menyenangkan berada disini
Ramos Han,Diedit 7 bulan lalu,5 bintang,Numpang gaya ya San.
Pukovisa Prawiroharjo,6 tahun lalu,5 bintang,Bagus banget untuk lihat Sakura pada musimnya
Serba Serbi,6 tahun lalu,4 bintang,Memang layak utk dikunjungi.....sangat terawat...
DINDIN MULYANA,8 tahun lalu,5 bintang,Cocok bawa keluarga. Dan teman. Bila ingin berkunjung.
Yogi Dwi payana,setahun lalu,5 bintang,"Bagus osaka castel, jalan cukup jauh."
arsyi hudaya,6 tahun lalu,4 bintang,Foto buat kenang kenangan sangat dianjurkan hihii
Muzafar Surjaputra,6 tahun lalu,5 bintang,"Sangat bagus,bisa dinaiki pakai lift"
Rayhan Paloe,7 tahun lalu,5 bintang,"Keren, apalagi kalau bunga sakura bermekaran"
MADE JEPANG,Diedit 3 tahun lalu,4 bintang,Sungguh menyajikan nuansa yg luar biasa dri zamannya
Muhammad Akbar Maulana,6 tahun lalu,5 bintang,Kereenn
Mina -,setahun lalu,5 bintang,Belom sah ke Jepang kalo belom foto disini 😄 …
aziz sport,6 tahun lalu,5 bintang,Wong palembang di osaka
Sandi MJT,6 tahun lalu,4 bintang,Beersih dan nyaman.
Paul Victor Pany,7 tahun lalu,5 bintang,Sangat Alami dan cantik
megareksa bandung,setahun lalu,5 bintang,Bagian bersejarah dari kata Osaka
Patricia Sinaga,5 tahun lalu,5 bintang,Ada atraksi dan tempat jual jajanan indoor
